Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ04\RtL\M3-cPVVG-Base\instance0915163317\eplustbl.csv,M3,RtL,CZ04,cPVVG,Base,1064674.91,916487.49,12123.99,0.0,24879.47,516016.47,126856.02,13.5,1.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ05\RtL\M3-cPVVG-Base\instance0915171611\eplustbl.csv,M3,RtL,CZ05,cPVVG,Base,772600.9600000001,818067.8699999999,12123.99,0.0,15203.44,435645.7,135471.6,8.33,1.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ06\RtL\M3-cPVVG-Base\instance0915175438\eplustbl.csv,M3,RtL,CZ06,cPVVG,Base,803174.3500000001,738117.8,12123.99,0.0,4204.86,495704.4,156877.49,1.67,4.67
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ07\RtL\M3-cPVVG-Base\instance0915182647\eplustbl.csv,M3,RtL,CZ07,cPVVG,Base,827837.9200000002,742830.5,12123.99,0.0,3339.77,497388.49,152638.91,1.0,5.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ08\RtL\M3-cPVVG-Base\instance0915185936\eplustbl.csv,M3,RtL,CZ08,cPVVG,Base,973003.93,805923.27,12123.99,0.0,5763.48,548533.71,147029.83,2.17,4.67
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ09\RtL\M3-cPVVG-Base\instance0915193357\eplustbl.csv,M3,RtL,CZ09,cPVVG,Base,1012393.19,815280.53,12123.99,0.0,8253.7,552724.07,145777.66,5.5,4.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ10\RtL\M3-cPVVG-Base\instance0915200720\eplustbl.csv,M3,RtL,CZ10,cPVVG,Base,1052266.9100000001,819996.1399999999,12123.99,0.0,6458.32,565978.11,138225.33,3.5,5.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ11\RtL\M3-cPVVG-Base\instance0915204033\eplustbl.csv,M3,RtL,CZ11,cPVVG,Base,1139024.8499999999,905882.7100000001,12123.99,0.0,28418.8,557918.64,127971.91,13.33,10.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ12\RtL\M3-cPVVG-Base\instance0915211202\eplustbl.csv,M3,RtL,CZ12,cPVVG,Base,1035306.6500000001,890106.2799999999,12123.99,0.0,26577.69,512343.29,127186.69,15.17,3.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ13\RtL\M3-cPVVG-Base\instance0916165319\eplustbl.csv,M3,RtL,CZ13,cPVVG,Base,1119772.44,886122.03,12123.99,0.0,21432.67,586797.46,137097.19,11.83,16.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ14\RtL\M3-cPVVG-Base\instance0915204935\eplustbl.csv,M3,RtL,CZ14,cPVVG,Base,1080340.8299999998,897970.5099999999,12123.99,0.0,24299.56,570645.11,143710.62,14.83,10.67
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ15\RtL\M3-cPVVG-Base\instance0915175218\eplustbl.csv,M3,RtL,CZ15,cPVVG,Base,1214328.9800000002,818966.1200000001,12123.99,0.0,2838.29,747486.45,158412.97,0.83,24.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ16\RtL\M3-cPVVG-Base\instance0915143527\eplustbl.csv,M3,RtL,CZ16,cPVVG,Base,915185.92,894206.19,12123.99,0.0,56450.17,434256.77,152474.61,19.0,1.67
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ01\RtL\M3-cPVVG-Measure\instance0915145316\eplustbl.csv,M3,RtL,CZ01,cPVVG,Measure,664121.33,821073.62,12123.99,0.0,34527.6,289865.79,125157.48,23.0,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ02\RtL\M3-cPVVG-Measure\instance0915152421\eplustbl.csv,M3,RtL,CZ02,cPVVG,Measure,915878.4199999999,885517.9299999998,12123.99,0.0,23658.13,362138.63,123136.86,15.83,0.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ03\RtL\M3-cPVVG-Measure\instance0915155414\eplustbl.csv,M3,RtL,CZ03,cPVVG,Measure,766665.92,783978.91,12123.99,0.0,14480.43,346284.91,132213.74,12.0,1.83
